program_id,program_name,program_area,data_tool,priority_score,open_checks,affected_records,pending_updates,source_rows,missing_citations,avg_confidence_score,last_verified_date,recommended_action
UP013,Pacific Heat pump adoption,Heat pump adoption,DSM Benchmark,125.4,5,1441,661,21,3,77.0,2026-01-25,Escalate source QA
UP014,Mountain Demand response,Demand response,Research Library,122.1,7,1580,1053,13,3,81.0,2026-04-15,Escalate source QA
UP040,Canada Heat pump adoption,Heat pump adoption,DSM Benchmark,119.3,5,889,941,19,6,78.3,2026-03-20,Escalate source QA
UP038,Mountain Small business direct install,Small business direct install,Measure Insights,94.0,3,1056,763,18,4,77.3,2026-03-14,Escalate source QA
UP039,Midwest Commercial lighting,Commercial lighting,DSM Benchmark,92.4,4,1243,274,14,3,85.6,2026-02-26,Escalate source QA
UP037,Midwest Transportation electrification,Transportation electrification,Program Tracker,87.8,4,344,531,20,6,76.2,2026-02-26,Escalate source QA
UP024,South Commercial lighting,Commercial lighting,Research Library,86.6,4,1254,566,19,5,81.8,2026-03-16,Escalate source QA
UP001,Pacific Residential weatherization,Residential weatherization,Utility Data Exchange,86.5,4,1497,231,14,3,78.9,2026-03-14,Publish with caveat
UP022,Midwest Commercial lighting,Commercial lighting,DSM Benchmark,83.1,5,869,703,23,6,78.3,2026-04-25,Escalate source QA
UP030,Canada Commercial lighting,Commercial lighting,Measure Insights,83.1,2,318,598,23,6,78.5,2026-01-28,Resolve update blockers
UP006,Northeast Residential weatherization,Residential weatherization,Program Tracker,82.2,5,1355,377,19,1,80.0,2026-03-05,Escalate source QA
UP016,Northeast Commercial lighting,Commercial lighting,Research Library,82.1,5,1710,273,17,4,81.4,2026-03-15,Escalate source QA
UP023,Canada Transportation electrification,Transportation electrification,Research Library,82.0,3,580,258,17,5,83.1,2026-02-07,Refresh stale fields
UP017,Pacific Commercial lighting,Commercial lighting,Utility Data Exchange,81.6,5,913,487,16,4,79.7,2026-04-25,Escalate source QA
UP027,Mountain Commercial lighting,Commercial lighting,Utility Data Exchange,79.4,4,409,533,12,4,82.2,2026-04-26,Resolve update blockers
UP033,Midwest Demand response,Demand response,Program Tracker,77.0,4,1380,548,23,6,83.4,2026-02-08,Refresh stale fields
UP004,Canada Transportation electrification,Transportation electrification,Utility Data Exchange,75.4,3,705,209,13,2,77.3,2026-05-16,Resolve update blockers
UP003,Midwest Income-qualified efficiency,Income-qualified efficiency,Program Tracker,75.3,3,681,233,17,3,83.3,2026-01-22,Refresh stale fields
UP032,Northeast Heat pump adoption,Heat pump adoption,Measure Insights,73.8,2,383,226,14,6,77.6,2026-03-02,Refresh stale fields
UP034,Mountain Transportation electrification,Transportation electrification,Program Tracker,71.5,3,772,320,16,2,79.7,2026-04-26,Publish with caveat
UP018,Northeast Commercial lighting,Commercial lighting,Utility Data Exchange,70.2,4,1295,116,19,7,79.9,2026-03-28,Publish with caveat
UP036,Midwest Small business direct install,Small business direct install,Utility Data Exchange,69.6,2,233,1104,18,7,84.4,2026-03-15,Resolve update blockers
UP020,Midwest Small business direct install,Small business direct install,Measure Insights,69.1,3,859,178,19,2,82.7,2026-04-04,Publish with caveat
UP015,Northeast Commercial lighting,Commercial lighting,Program Tracker,69.0,3,1054,259,20,7,80.7,2026-05-10,Publish with caveat
UP029,Canada Residential weatherization,Residential weatherization,Program Tracker,64.8,2,779,7,21,5,81.6,2026-04-13,Publish with caveat
UP021,Canada Income-qualified efficiency,Income-qualified efficiency,Measure Insights,62.1,3,666,222,11,4,79.1,2026-03-05,Refresh stale fields
UP035,Midwest Residential weatherization,Residential weatherization,DSM Benchmark,62.1,3,675,48,12,3,82.6,2026-03-28,Publish with caveat
UP025,Pacific Heat pump adoption,Heat pump adoption,DSM Benchmark,60.3,3,1067,163,16,4,76.3,2026-03-19,Publish with caveat
UP026,South Small business direct install,Small business direct install,Program Tracker,57.6,1,64,518,14,4,82.7,2026-04-25,Resolve update blockers
UP010,Northeast Transportation electrification,Transportation electrification,Research Library,56.8,3,562,1633,18,6,82.2,2026-04-04,Resolve update blockers
UP008,Canada Residential weatherization,Residential weatherization,Measure Insights,56.5,3,1193,138,19,8,76.8,2026-05-20,Publish with caveat
UP002,Midwest Small business direct install,Small business direct install,Measure Insights,55.8,1,308,387,14,3,80.2,2026-04-28,Resolve update blockers
UP028,Northeast Demand response,Demand response,DSM Benchmark,48.3,4,788,268,21,3,80.0,2026-05-01,Publish with caveat
UP005,Pacific Small business direct install,Small business direct install,DSM Benchmark,47.1,2,392,665,15,5,88.7,2026-05-13,Publish with caveat
UP019,South Heat pump adoption,Heat pump adoption,Utility Data Exchange,46.9,2,616,780,15,2,79.3,2026-03-25,Publish with caveat
UP007,South Residential weatherization,Residential weatherization,Measure Insights,46.1,1,360,545,21,4,80.0,2026-04-09,Publish with caveat
UP012,Northeast Small business direct install,Small business direct install,Measure Insights,40.9,1,296,233,15,1,79.1,2026-02-28,Refresh stale fields
UP041,Midwest Heat pump adoption,Heat pump adoption,Program Tracker,39.7,3,464,233,22,3,78.2,2026-05-09,Publish with caveat
UP031,Mountain Income-qualified efficiency,Income-qualified efficiency,Utility Data Exchange,35.7,1,59,0,14,2,86.0,2026-03-02,Refresh stale fields
UP011,Northeast Small business direct install,Small business direct install,Measure Insights,31.2,2,580,93,14,3,85.5,2026-05-14,Publish with caveat
UP009,Canada Small business direct install,Small business direct install,Program Tracker,31.1,3,774,299,16,0,81.6,2026-04-10,Publish with caveat
UP042,Pacific Transportation electrification,Transportation electrification,Research Library,24.0,1,117,643,18,2,80.1,2026-05-06,Publish with caveat
