request_id,program_id,request_type,due_date,audience,research_question,source_need,status
REQ0001,UP003,webinar exhibit,2026-06-08,utility client,Which program records changed since the last published update?,program history and participation trend,new
REQ0002,UP041,data pull,2026-06-18,subject matter expert,Which measures need source validation before the client call?,primary utility filing plus benchmark comparison,triaged
REQ0003,UP018,report update,2026-06-21,subject matter expert,Where do savings values diverge from peer benchmarks?,program history and participation trend,new
REQ0004,UP027,client question,2026-06-21,internal analyst,Where do savings values diverge from peer benchmarks?,program history and participation trend,ready
REQ0005,UP019,client question,2026-05-23,internal analyst,Which program records changed since the last published update?,client spreadsheet reconciliation,triaged
REQ0006,UP028,webinar exhibit,2026-05-23,executive reviewer,Where do savings values diverge from peer benchmarks?,survey notes with page references,ready
REQ0007,UP004,data pull,2026-06-25,subject matter expert,Which measures need source validation before the client call?,client spreadsheet reconciliation,new
REQ0008,UP029,article support,2026-06-04,internal analyst,What caveats should be included in the written summary?,survey notes with page references,triaged
REQ0009,UP035,webinar exhibit,2026-06-16,executive reviewer,Which program records changed since the last published update?,program history and participation trend,triaged
REQ0010,UP040,data pull,2026-05-26,subject matter expert,What caveats should be included in the written summary?,survey notes with page references,new
REQ0011,UP007,article support,2026-05-28,subject matter expert,Which measures need source validation before the client call?,program history and participation trend,in progress
REQ0012,UP019,data pull,2026-06-25,utility client,Where do savings values diverge from peer benchmarks?,client spreadsheet reconciliation,in progress
REQ0013,UP016,webinar exhibit,2026-05-23,subject matter expert,Which program records changed since the last published update?,client spreadsheet reconciliation,new
REQ0014,UP018,article support,2026-05-23,subject matter expert,What caveats should be included in the written summary?,primary utility filing plus benchmark comparison,new
REQ0015,UP002,data pull,2026-06-05,subject matter expert,Where do savings values diverge from peer benchmarks?,survey notes with page references,new
REQ0016,UP010,article support,2026-06-18,utility client,Where do savings values diverge from peer benchmarks?,client spreadsheet reconciliation,new
REQ0017,UP006,data pull,2026-06-16,subject matter expert,What caveats should be included in the written summary?,survey notes with page references,triaged
REQ0018,UP011,report update,2026-05-24,internal analyst,Which measures need source validation before the client call?,survey notes with page references,ready
REQ0019,UP001,data pull,2026-05-24,subject matter expert,Where do savings values diverge from peer benchmarks?,program history and participation trend,triaged
REQ0020,UP033,client question,2026-06-25,internal analyst,Which program records changed since the last published update?,survey notes with page references,in progress
REQ0021,UP026,data pull,2026-06-06,utility client,Where do savings values diverge from peer benchmarks?,primary utility filing plus benchmark comparison,triaged
REQ0022,UP036,webinar exhibit,2026-05-31,internal analyst,Which measures need source validation before the client call?,primary utility filing plus benchmark comparison,new
REQ0023,UP023,article support,2026-06-18,internal analyst,Where do savings values diverge from peer benchmarks?,survey notes with page references,ready
REQ0024,UP034,webinar exhibit,2026-06-10,utility client,Where do savings values diverge from peer benchmarks?,program history and participation trend,triaged
REQ0025,UP012,article support,2026-05-29,executive reviewer,Where do savings values diverge from peer benchmarks?,program history and participation trend,triaged
REQ0026,UP042,webinar exhibit,2026-06-09,subject matter expert,Which measures need source validation before the client call?,program history and participation trend,new
REQ0027,UP004,client question,2026-06-18,subject matter expert,Which program records changed since the last published update?,primary utility filing plus benchmark comparison,ready
REQ0028,UP002,data pull,2026-06-09,internal analyst,What caveats should be included in the written summary?,client spreadsheet reconciliation,new
REQ0029,UP042,data pull,2026-06-24,internal analyst,Which program records changed since the last published update?,primary utility filing plus benchmark comparison,triaged
REQ0030,UP021,webinar exhibit,2026-06-02,executive reviewer,Which program records changed since the last published update?,program history and participation trend,new
REQ0031,UP041,article support,2026-06-23,subject matter expert,Which program records changed since the last published update?,client spreadsheet reconciliation,in progress
