event_id,event_date,entity_id,event_type,severity,estimated_impact
EV0001,2026-01-01,UTI007,experiment,Low,2470
EV0002,2026-01-02,UTI035,launch,Medium,3024
EV0003,2026-01-03,UTI020,stakeholder_request,Medium,32927
EV0004,2026-01-04,UTI024,experiment,Medium,5123
EV0005,2026-01-05,UTI003,qa_check,High,8852
EV0006,2026-01-06,UTI019,handoff,Medium,43174
EV0007,2026-01-07,UTI007,launch,High,15290
EV0008,2026-01-08,UTI025,qa_check,Low,10896
EV0009,2026-01-09,UTI005,launch,Medium,32682
EV0010,2026-01-10,UTI018,exception,Medium,12488
EV0011,2026-01-11,UTI015,exception,Medium,39960
EV0012,2026-01-12,UTI017,qa_check,Medium,42465
EV0013,2026-01-13,UTI034,exception,Medium,17872
EV0014,2026-01-14,UTI008,handoff,Low,29206
EV0015,2026-01-15,UTI001,exception,Low,7018
EV0016,2026-01-16,UTI002,exception,Low,36235
EV0017,2026-01-17,UTI005,experiment,Medium,14604
EV0018,2026-01-18,UTI015,exception,High,3205
EV0019,2026-01-19,UTI023,experiment,Low,27423
EV0020,2026-01-20,UTI008,qa_check,Low,5109
EV0021,2026-01-21,UTI003,stakeholder_request,Medium,28045
EV0022,2026-01-22,UTI032,handoff,Low,51214
EV0023,2026-01-23,UTI021,experiment,Low,14233
EV0024,2026-01-24,UTI011,qa_check,Low,41701
EV0025,2026-01-25,UTI030,qa_check,High,21571
EV0026,2026-01-26,UTI016,handoff,Medium,36538
EV0027,2026-01-27,UTI030,handoff,High,46319
EV0028,2026-01-28,UTI036,handoff,Low,12559
EV0029,2026-01-29,UTI029,launch,High,22981
EV0030,2026-01-30,UTI022,qa_check,Low,35774
EV0031,2026-01-31,UTI020,handoff,Low,11090
EV0032,2026-02-01,UTI005,exception,Low,24885
EV0033,2026-02-02,UTI028,qa_check,Medium,24720
EV0034,2026-02-03,UTI018,launch,Medium,33030
EV0035,2026-02-04,UTI006,launch,Medium,19707
EV0036,2026-02-05,UTI020,experiment,Medium,17747
EV0037,2026-02-06,UTI017,launch,High,38595
EV0038,2026-02-07,UTI023,experiment,Low,26145
EV0039,2026-02-08,UTI001,stakeholder_request,Medium,49801
EV0040,2026-02-09,UTI032,stakeholder_request,Low,22808
EV0041,2026-02-10,UTI019,launch,Low,47494
EV0042,2026-02-11,UTI025,qa_check,High,29906
EV0043,2026-02-12,UTI009,launch,Medium,51698
EV0044,2026-02-13,UTI014,handoff,Medium,13035
EV0045,2026-02-14,UTI010,stakeholder_request,High,8607
EV0046,2026-02-15,UTI014,qa_check,Low,27766
EV0047,2026-02-16,UTI020,handoff,Low,3130
EV0048,2026-02-17,UTI024,experiment,Medium,8923
EV0049,2026-02-18,UTI020,qa_check,Low,11142
EV0050,2026-02-19,UTI010,handoff,Low,26567
EV0051,2026-02-20,UTI003,exception,High,15460
EV0052,2026-02-21,UTI023,experiment,High,30213
EV0053,2026-02-22,UTI018,qa_check,Medium,22043
EV0054,2026-02-23,UTI020,qa_check,High,8254
EV0055,2026-02-24,UTI005,exception,Medium,27898
EV0056,2026-02-25,UTI007,exception,Low,47610
EV0057,2026-02-26,UTI012,launch,Low,43714
EV0058,2026-02-27,UTI030,handoff,High,36096
EV0059,2026-02-28,UTI005,handoff,High,16717
EV0060,2026-03-01,UTI006,qa_check,Low,37503
EV0061,2026-03-02,UTI009,launch,High,14232
EV0062,2026-03-03,UTI036,qa_check,Medium,51905
EV0063,2026-03-04,UTI010,experiment,Low,49977
