program_id,headline,evidence,stakeholder_summary,visual_note
UP013,Heat pump adoption needs escalate source qa,"5 open checks, 3 source gaps, 661 pending tool rows",Focus the next update on DSM Benchmark records where source confidence is 77.0 and the last verification date is 2026-01-25.,"Show open checks, pending updates, and citation gaps together so nontechnical reviewers can see why the queue rank changed."
UP014,Demand response needs escalate source qa,"7 open checks, 3 source gaps, 1053 pending tool rows",Focus the next update on Research Library records where source confidence is 81.0 and the last verification date is 2026-04-15.,"Show open checks, pending updates, and citation gaps together so nontechnical reviewers can see why the queue rank changed."
UP040,Heat pump adoption needs escalate source qa,"5 open checks, 6 source gaps, 941 pending tool rows",Focus the next update on DSM Benchmark records where source confidence is 78.3 and the last verification date is 2026-03-20.,"Show open checks, pending updates, and citation gaps together so nontechnical reviewers can see why the queue rank changed."
UP038,Small business direct install needs escalate source qa,"3 open checks, 4 source gaps, 763 pending tool rows",Focus the next update on Measure Insights records where source confidence is 77.3 and the last verification date is 2026-03-14.,"Show open checks, pending updates, and citation gaps together so nontechnical reviewers can see why the queue rank changed."
UP039,Commercial lighting needs escalate source qa,"4 open checks, 3 source gaps, 274 pending tool rows",Focus the next update on DSM Benchmark records where source confidence is 85.6 and the last verification date is 2026-02-26.,"Show open checks, pending updates, and citation gaps together so nontechnical reviewers can see why the queue rank changed."
UP037,Transportation electrification needs escalate source qa,"4 open checks, 6 source gaps, 531 pending tool rows",Focus the next update on Program Tracker records where source confidence is 76.2 and the last verification date is 2026-02-26.,"Show open checks, pending updates, and citation gaps together so nontechnical reviewers can see why the queue rank changed."
UP024,Commercial lighting needs escalate source qa,"4 open checks, 5 source gaps, 566 pending tool rows",Focus the next update on Research Library records where source confidence is 81.8 and the last verification date is 2026-03-16.,"Show open checks, pending updates, and citation gaps together so nontechnical reviewers can see why the queue rank changed."
UP001,Residential weatherization needs publish with caveat,"4 open checks, 3 source gaps, 231 pending tool rows",Focus the next update on Utility Data Exchange records where source confidence is 78.9 and the last verification date is 2026-03-14.,"Show open checks, pending updates, and citation gaps together so nontechnical reviewers can see why the queue rank changed."
UP022,Commercial lighting needs escalate source qa,"5 open checks, 6 source gaps, 703 pending tool rows",Focus the next update on DSM Benchmark records where source confidence is 78.3 and the last verification date is 2026-04-25.,"Show open checks, pending updates, and citation gaps together so nontechnical reviewers can see why the queue rank changed."
UP030,Commercial lighting needs resolve update blockers,"2 open checks, 6 source gaps, 598 pending tool rows",Focus the next update on Measure Insights records where source confidence is 78.5 and the last verification date is 2026-01-28.,"Show open checks, pending updates, and citation gaps together so nontechnical reviewers can see why the queue rank changed."
UP006,Residential weatherization needs escalate source qa,"5 open checks, 1 source gaps, 377 pending tool rows",Focus the next update on Program Tracker records where source confidence is 80.0 and the last verification date is 2026-03-05.,"Show open checks, pending updates, and citation gaps together so nontechnical reviewers can see why the queue rank changed."
UP016,Commercial lighting needs escalate source qa,"5 open checks, 4 source gaps, 273 pending tool rows",Focus the next update on Research Library records where source confidence is 81.4 and the last verification date is 2026-03-15.,"Show open checks, pending updates, and citation gaps together so nontechnical reviewers can see why the queue rank changed."
UP023,Transportation electrification needs refresh stale fields,"3 open checks, 5 source gaps, 258 pending tool rows",Focus the next update on Research Library records where source confidence is 83.1 and the last verification date is 2026-02-07.,"Show open checks, pending updates, and citation gaps together so nontechnical reviewers can see why the queue rank changed."
UP017,Commercial lighting needs escalate source qa,"5 open checks, 4 source gaps, 487 pending tool rows",Focus the next update on Utility Data Exchange records where source confidence is 79.7 and the last verification date is 2026-04-25.,"Show open checks, pending updates, and citation gaps together so nontechnical reviewers can see why the queue rank changed."
UP027,Commercial lighting needs resolve update blockers,"4 open checks, 4 source gaps, 533 pending tool rows",Focus the next update on Utility Data Exchange records where source confidence is 82.2 and the last verification date is 2026-04-26.,"Show open checks, pending updates, and citation gaps together so nontechnical reviewers can see why the queue rank changed."
UP033,Demand response needs refresh stale fields,"4 open checks, 6 source gaps, 548 pending tool rows",Focus the next update on Program Tracker records where source confidence is 83.4 and the last verification date is 2026-02-08.,"Show open checks, pending updates, and citation gaps together so nontechnical reviewers can see why the queue rank changed."
UP004,Transportation electrification needs resolve update blockers,"3 open checks, 2 source gaps, 209 pending tool rows",Focus the next update on Utility Data Exchange records where source confidence is 77.3 and the last verification date is 2026-05-16.,"Show open checks, pending updates, and citation gaps together so nontechnical reviewers can see why the queue rank changed."
UP003,Income-qualified efficiency needs refresh stale fields,"3 open checks, 3 source gaps, 233 pending tool rows",Focus the next update on Program Tracker records where source confidence is 83.3 and the last verification date is 2026-01-22.,"Show open checks, pending updates, and citation gaps together so nontechnical reviewers can see why the queue rank changed."
