action_id,entity_id,action_type,effort_hours,expected_lift_pct,status
ACT0001,UTI021,document,7,4.4,Ready
ACT0002,UTI007,document,30,2.6,Proposed
ACT0003,UTI036,escalate,14,4.8,In Review
ACT0004,UTI016,prioritize,8,7.8,Complete
ACT0005,UTI024,automate,19,13.9,Proposed
ACT0006,UTI008,monitor,10,9.8,In Review
ACT0007,UTI035,prioritize,36,12.3,Complete
ACT0008,UTI011,prioritize,22,13.5,Complete
ACT0009,UTI005,document,22,16.9,In Review
ACT0010,UTI032,escalate,6,22.3,Proposed
ACT0011,UTI035,document,36,9.5,Complete
ACT0012,UTI020,validate,34,9.2,Proposed
ACT0013,UTI035,automate,43,7.7,Ready
ACT0014,UTI013,monitor,26,17.3,Ready
ACT0015,UTI013,validate,8,22.1,In Review
ACT0016,UTI031,automate,11,5.1,Proposed
ACT0017,UTI006,monitor,14,13.6,In Review
ACT0018,UTI018,automate,37,8.7,In Review
ACT0019,UTI022,validate,42,16.3,Proposed
ACT0020,UTI001,escalate,12,11.5,Complete
ACT0021,UTI034,document,6,10.8,In Review
ACT0022,UTI031,monitor,43,12.3,Complete
ACT0023,UTI009,document,36,13.8,In Review
ACT0024,UTI033,monitor,41,16.6,Proposed
ACT0025,UTI009,validate,17,7.5,Complete
ACT0026,UTI006,escalate,8,23.3,Proposed
ACT0027,UTI029,validate,7,13.9,In Review
ACT0028,UTI027,validate,23,18.3,In Review
ACT0029,UTI006,prioritize,9,3.9,In Review
ACT0030,UTI029,monitor,10,7.9,Ready
ACT0031,UTI018,monitor,6,17.8,Proposed
ACT0032,UTI031,monitor,30,2.2,Proposed
ACT0033,UTI009,monitor,29,6.7,In Review
ACT0034,UTI026,escalate,2,22.7,In Review
ACT0035,UTI009,automate,37,17.9,Proposed
ACT0036,UTI006,monitor,23,6.9,In Review
ACT0037,UTI009,monitor,34,18.5,Ready
ACT0038,UTI035,automate,17,13.7,Complete
ACT0039,UTI031,validate,11,16.0,Complete
ACT0040,UTI006,validate,33,4.7,Ready
ACT0041,UTI010,escalate,35,13.2,Ready
ACT0042,UTI036,validate,25,13.2,Complete
ACT0043,UTI024,prioritize,26,8.9,In Review
ACT0044,UTI032,escalate,41,13.4,Complete
ACT0045,UTI029,monitor,25,5.0,Complete
ACT0046,UTI009,automate,39,11.5,In Review
ACT0047,UTI020,escalate,27,18.3,In Review
ACT0048,UTI017,monitor,15,24.0,Ready
ACT0049,UTI031,document,39,13.5,Ready
ACT0050,UTI013,prioritize,43,13.2,Complete
ACT0051,UTI001,automate,36,3.6,In Review
ACT0052,UTI035,validate,9,16.7,Ready
ACT0053,UTI018,monitor,3,21.5,Complete
ACT0054,UTI023,validate,43,4.2,Complete
ACT0055,UTI019,automate,19,8.2,Complete
ACT0056,UTI020,validate,6,14.3,Proposed
ACT0057,UTI024,escalate,32,2.6,In Review
ACT0058,UTI005,automate,5,23.2,Ready
ACT0059,UTI017,monitor,24,17.7,Proposed
ACT0060,UTI026,monitor,15,15.5,Proposed
ACT0061,UTI019,escalate,7,16.7,Complete
ACT0062,UTI027,escalate,28,5.6,Ready
