entity_id,entity_name,segment,priority_score,avg_risk_score,avg_quality_score,estimated_impact
UTI003,Utility program 3,Strategic,102.28,50.6,80.8,907249
UTI014,Utility program 14,Core,100.56,52.8,80.9,863888
UTI001,Utility program 1,Core,96.58,52.9,81.6,810920
UTI018,Utility program 18,Watch,96.28,46.0,81.0,863131
UTI028,Utility program 28,Strategic,91.51,54.3,79.8,719342
UTI023,Utility program 23,Watch,91.03,48.5,79.7,762922
UTI008,Utility program 8,Core,90.83,50.2,80.0,746123
UTI011,Utility program 11,Growth,90.31,51.3,80.7,732493
UTI019,Utility program 19,Watch,89.02,51.2,80.6,715150
UTI022,Utility program 22,Strategic,85.17,48.2,80.7,687684
UTI016,Utility program 16,Watch,81.43,52.3,81.1,600967
UTI017,Utility program 17,Core,81.33,50.6,80.0,609647
UTI036,Utility program 36,Watch,79.70,52.1,80.0,574155
UTI027,Utility program 27,Watch,78.71,51.4,80.2,567213
UTI013,Utility program 13,Core,77.84,51.1,80.7,559912
UTI012,Utility program 12,Strategic,76.89,49.2,80.7,562966
UTI015,Utility program 15,Strategic,76.26,50.4,80.9,544729
UTI009,Utility program 9,Watch,75.89,50.1,80.5,540109
UTI021,Utility program 21,Core,74.92,51.7,80.5,512656
UTI030,Utility program 30,Strategic,73.83,49.5,80.2,514946
UTI031,Utility program 31,Core,73.44,52.0,80.2,488071
UTI025,Utility program 25,Growth,73.20,52.1,81.9,491325
UTI006,Utility program 6,Watch,72.83,53.6,81.4,471145
UTI005,Utility program 5,Watch,72.29,48.0,80.2,506789
UTI007,Utility program 7,Core,71.85,49.4,79.8,486556
